longitude,latitude
-179.900000,48.014546
-179.769484,48.074543
-179.636902,48.138962
-179.502354,48.207124
-179.365892,48.278405
-179.228058,48.352234
-179.089247,48.428089
-178.949685,48.505498
-178.809505,48.584034
-178.668888,48.663317
-178.527783,48.743005
-178.386143,48.822799
-178.244177,48.902437
-178.102007,48.981690
-177.959971,49.060366
-177.818368,49.138301
-177.677540,49.215364
-177.537714,49.291448
-177.399100,49.366470
-177.261881,49.440373
-177.126032,49.513118
-176.991346,49.584685
-176.857410,49.655069
-176.723740,49.724282
-176.590044,49.792346
-176.455995,49.859292
-176.321445,49.925930
-176.186272,49.991366
-176.050353,50.055637
-175.913346,50.118798
-175.774905,50.180926
-175.634720,50.242103
-175.492446,50.302413
-175.347448,50.361940
-175.199360,50.420750
-175.048034,50.478883
-174.893427,50.536347
-174.735754,50.593111
-174.575291,50.649113
-174.412314,50.704248
-174.246976,50.758386
-174.079404,50.811366
-173.909791,50.863014
-173.738011,50.913141
-173.563943,50.961551
-173.387459,51.008052
-173.208498,51.052448
-173.027195,51.094560
-172.843478,51.134229
-172.657294,51.171323
-172.468638,51.205735
-172.277526,51.237387
-172.084011,51.266223
-171.888188,51.292215
-171.690129,51.315354
-171.489924,51.335643
-171.287697,51.353095
-171.083684,51.367735
-170.878172,51.379592
-170.671437,51.388704
-170.463736,51.395120
-170.255286,51.398901
-170.046258,51.400120
-169.836798,51.398867
-169.626950,51.395245
-169.416706,51.389366
-169.206036,51.381341
-168.994889,51.371278
-168.783196,51.359291
-168.570856,51.345490
-168.357770,51.329977
-168.143822,51.312843
-167.928886,51.294166
-167.712825,51.274008
-167.495483,51.252418
-167.276695,51.229422
-167.056271,51.205031
-166.834129,51.179241
-166.610255,51.152038
-166.384721,51.123399
-166.157732,51.093294
-165.929641,51.061689
-165.700918,51.028548
-165.472101,50.993832
-165.243712,50.957492
-165.016190,50.919476
-164.789732,50.879727
-164.564340,50.838187
-164.339922,50.794803
-164.116366,50.749528
-163.893575,50.702318
-163.671561,50.653141
-163.450345,50.601969
-163.229982,50.548782
-163.010558,50.493564
-162.792210,50.436306
-162.575097,50.377012
-162.359345,50.315697
-162.145079,50.252383
-161.932397,50.187102
-161.721332,50.119890
-161.511881,50.050787
-161.303950,49.979834
-161.097330,49.907074
-160.891865,49.832562
-160.687436,49.756356
-160.483951,49.678524
-160.281501,49.599142
-160.080247,49.518291
-159.880406,49.436057
-159.682238,49.352526
-159.485950,49.267784
-159.291740,49.181916
-159.100001,49.095004
-158.910889,49.007131
-158.724427,48.918381
-158.540665,48.828838
-158.359357,48.738591
-158.180245,48.647735
-158.003162,48.556367
-157.827991,48.464592
-157.654773,48.372519
-157.483630,48.280261
-157.314658,48.187933
-157.148046,48.095644
-156.983860,48.003500
-156.822121,47.911596
-156.662754,47.820014
-156.505658,47.728820
-156.350751,47.638063
-156.197708,47.547779
-156.046389,47.457986
-155.896582,47.368696
-155.748137,47.279902
-155.601020,47.191592
-155.455205,47.103745
-155.310771,47.016338
-155.167777,46.929347
-155.026302,46.842752
-154.886365,46.756530
-154.747889,46.670654
-154.610722,46.585097
-154.474582,46.499828
-154.339338,46.414819
-154.204708,46.330040
-154.070637,46.245472
-153.937070,46.161107
-153.804165,46.076939
-153.672046,45.992976
-153.540958,45.909228
-153.411140,45.825713
-153.282802,45.742451
-153.156025,45.659468
-153.030801,45.576799
-152.907077,45.494484
-152.784724,45.412574
-152.663543,45.331127
-152.543418,45.250209
-152.424284,45.169888
-152.306151,45.090237
-152.189076,45.011332
-152.073137,44.933252
-151.958438,44.856078
-151.845001,44.779897
-151.732813,44.704796
-151.621818,44.630863
-151.511858,44.558191
-151.402883,44.486873
-151.294685,44.417009
-151.187150,44.348703
-151.080131,44.282069
-150.973514,44.217222
-150.867210,44.154285
-150.761079,44.093378
-150.655091,44.034620
-150.549232,43.978122
-150.443471,43.923984
-150.337800,43.872295
-150.232223,43.823131
-150.126710,43.776551
-150.021209,43.732604
-149.915659,43.691323
-149.809899,43.652730
-149.703869,43.616831
-149.597471,43.583622
-149.490595,43.553082
-149.383211,43.525178
-149.275175,43.499863
-149.166481,43.477076
-149.057061,43.456745
-148.946896,43.438789
-148.835956,43.423124
-148.724208,43.409658
