longitude,latitude
-179.900000,42.980828
-179.771089,43.018131
-179.643180,43.054902
-179.516408,43.091244
-179.390817,43.127250
-179.266490,43.163003
-179.143444,43.198580
-179.021640,43.234047
-178.901058,43.269462
-178.781550,43.304878
-178.663034,43.340337
-178.545362,43.375876
-178.428457,43.411526
-178.312243,43.447310
-178.196676,43.483246
-178.081777,43.519348
-177.967562,43.555620
-177.854063,43.592067
-177.741382,43.628686
-177.629520,43.665470
-177.518478,43.702410
-177.408212,43.739490
-177.298575,43.776696
-177.189432,43.814007
-177.080595,43.851401
-176.971904,43.888855
-176.863256,43.926291
-176.754519,43.963747
-176.645619,44.001193
-176.536648,44.038598
-176.427541,44.075931
-176.318438,44.113162
-176.209388,44.150264
-176.100431,44.187206
-175.991673,44.223962
-175.883085,44.260507
-175.774836,44.296813
-175.666910,44.332853
-175.559488,44.368604
-175.452631,44.404048
-175.346451,44.439169
-175.241098,44.473962
-175.136607,44.508430
-175.033220,44.542584
-174.930984,44.576446
-174.830100,44.610044
-174.730688,44.643413
-174.632837,44.676595
-174.536806,44.709635
-174.442612,44.742576
-174.350401,44.775458
-174.260230,44.808321
-174.172048,44.841200
-174.085764,44.874124
-174.001299,44.907119
-173.918581,44.940209
-173.837170,44.973414
-173.756993,45.006750
-173.677971,45.040234
-173.599540,45.073880
-173.521642,45.107700
-173.444261,45.141711
-173.367175,45.175924
-173.290312,45.210357
-173.213685,45.245024
-173.137327,45.279941
-173.061337,45.315128
-172.985753,45.350602
-172.910648,45.386381
-172.836225,45.422480
-172.762483,45.458915
-172.689421,45.495701
-172.617223,45.532849
-172.545968,45.570374
-172.475646,45.608288
-172.406250,45.646602
-172.337764,45.685330
-172.270153,45.724487
-172.203385,45.764090
-172.137266,45.804155
-172.071707,45.844698
-172.006663,45.885741
-171.942085,45.927299
-171.877589,45.969388
-171.813092,46.012023
-171.748545,46.055216
-171.683884,46.098974
-171.618795,46.143299
-171.553235,46.188195
-171.487157,46.233668
-171.420528,46.279716
-171.353390,46.326340
-171.285726,46.373543
-171.217511,46.421334
-171.148950,46.469720
-171.080270,46.518708
-171.011448,46.568310
-170.942452,46.618544
-170.873753,46.669426
-170.805386,46.720972
-170.737277,46.773201
-170.669463,46.826134
-170.602301,46.879789
-170.535707,46.934185
-170.469598,46.989343
-170.404029,47.045282
-170.339127,47.102018
-170.274831,47.159568
-170.211075,47.217945
-170.147859,47.277164
-170.085228,47.337235
-170.023201,47.398169
-169.961761,47.459974
-169.900825,47.522658
-169.840395,47.586231
-169.780537,47.650696
-169.721240,47.716065
-169.662324,47.782345
-169.603609,47.849542
-169.545082,47.917664
-169.486715,47.986722
-169.428391,48.056728
-169.369765,48.127692
-169.310794,48.199634
-169.251433,48.272569
-169.191615,48.346513
-169.131066,48.421487
-169.069730,48.497511
-169.007556,48.574597
-168.944438,48.652763
-168.880419,48.732020
-168.815473,48.812375
-168.749541,48.893835
-168.682569,48.976396
-168.614758,49.060059
-168.546054,49.144817
-168.476395,49.230657
-168.405814,49.317566
-168.334435,49.405530
-168.262199,49.494531
-168.189050,49.584546
-168.115076,49.675555
-168.040268,49.767539
-167.964589,49.860478
-167.888022,49.954348
-167.810555,50.049126
-167.732197,50.144789
-167.652901,50.241315
-167.572570,50.338674
-167.491249,50.436839
-167.408857,50.535783
-167.325229,50.635488
-167.240357,50.735939
-167.154128,50.837135
-167.066534,50.939089
-166.977545,51.041822
-166.887216,51.145365
-166.795655,51.249752
-166.702841,51.355015
-166.609051,51.461180
-166.514210,51.568264
-166.418496,51.676274
-166.321853,51.785203
-166.224275,51.895034
-166.125808,52.005732
-166.026207,52.117246
