longitude,latitude
-179.900000,35.991667
-179.611681,36.021222
-179.322996,36.051290
-179.034174,36.081957
-178.745410,36.113301
-178.456819,36.145391
-178.168538,36.178290
-177.880703,36.212054
-177.593538,36.246731
-177.307335,36.282363
-177.022233,36.318986
-176.738244,36.356632
-176.455189,36.395325
-176.172975,36.435087
-175.891603,36.475932
-175.611122,36.517872
-175.331443,36.560914
-175.052371,36.605064
-174.773890,36.650322
-174.496010,36.696685
-174.218869,36.744150
-173.942607,36.792710
-173.667105,36.842356
-173.392435,36.893078
-173.118485,36.944866
-172.844998,36.997708
-172.571740,37.051475
-172.298448,37.106300
-172.025101,37.162164
-171.751624,37.219034
-171.478249,37.276875
-171.205773,37.335668
-170.935096,37.395415
-170.666779,37.456144
-170.400623,37.517899
-170.135932,37.580730
-169.872151,37.644676
-169.608941,37.709763
-169.346316,37.775992
-169.084447,37.843349
-168.823432,37.911813
-168.563210,37.981346
-168.303516,38.051889
-168.044188,38.123384
-167.785360,38.195784
-167.527219,38.269050
-167.270056,38.343160
-167.014229,38.418100
-166.760003,38.493888
-166.507567,38.570574
-166.256752,38.648230
-166.007400,38.726942
-165.759182,38.806785
-165.511863,38.887829
-165.266109,38.970116
-165.022768,39.053693
-164.782377,39.138605
-164.545317,39.224922
-164.311594,39.312718
-164.080609,39.402067
-163.852046,39.493032
-163.625910,39.585674
-163.402306,39.680036
-163.181681,39.776154
-162.964269,39.874024
-162.749667,39.973601
-162.537339,40.074813
-162.326125,40.177542
-162.115212,40.281664
-161.904089,40.387068
-161.692478,40.493662
-161.480655,40.601370
-161.269466,40.710137
-161.060139,40.819910
-160.853135,40.930650
-160.648335,41.042317
-160.445313,41.154860
-160.243638,41.268206
-160.043072,41.382260
-159.843515,41.496918
-159.644793,41.612088
-159.446664,41.727693
-159.249241,41.843674
-159.052282,41.959995
-158.856083,42.076624
-158.660995,42.193543
-158.467597,42.310753
-158.276129,42.428268
-158.086609,42.546103
-157.898491,42.664269
-157.711447,42.782748
-157.525257,42.901466
-157.339286,43.020306
-157.153418,43.139107
-156.967437,43.257715
-156.781289,43.375975
-156.594885,43.493756
-156.409106,43.610951
-156.224290,43.727514
-156.040815,43.843428
-155.858848,43.958715
-155.678481,44.073427
-155.499472,44.187641
-155.321762,44.301465
-155.144793,44.415043
-154.967857,44.528531
-154.790470,44.642067
-154.612203,44.755749
-154.433408,44.869636
-154.254581,44.983761
-154.076074,45.098148
-153.898344,45.212821
-153.721307,45.327779
-153.544337,45.442990
-153.366785,45.558364
-153.188361,45.673761
-153.009104,45.789002
-152.829924,45.903864
-152.651416,46.018121
-152.473592,46.131541
-152.295979,46.243895
-152.117466,46.354956
-151.936846,46.464504
