longitude,latitude
-179.9,43.551608
-179.7705530430616,43.68401730174421
-179.64230508944377,43.817877525966466
-179.51491955550424,43.95313736524238
-179.38826686708248,44.08974523917923
-179.26210246793025,44.22765183001721
-179.1364178314926,44.36680922848936
-179.01108544936807,44.50717183188139
-178.88613782547,44.648694280567895
-178.76163248416464,44.79133294030444
-178.6376739799248,44.93504666060847
-178.51440185413355,45.0797929067598
-178.39189868454974,45.22553276971403
-178.2701640758955,45.3722302516413
-178.14916664574164,45.519850695029625
-178.02878800592353,45.66835939768214
-177.90892780013115,45.81772445958222
-177.78959066572514,45.96791282781946
-177.67076026329184,46.11889367994162
-177.55261223086356,46.27063308540812
-177.43516122715795,46.423099881388566
-177.31854690335743,46.57626153255997
-177.20271394435923,46.73008964456723
-177.08757800386883,46.88455314165438
-176.973035758697,47.03962315656378
-176.85887289234577,47.195272040811204
-176.74488127537947,47.35139807351367
-176.6307371908479,47.50802881072526
-176.5160515084813,47.66515452448691
-176.40069710417615,47.82276460997448
-176.2843908851926,47.980852175114045
-176.1671677725613,48.13940983602964
-176.049010569668,48.29841978046534
-175.92977004393606,48.4578616457585
-175.80961666900004,48.617686557172476
-175.6883498200797,48.777838714191745
-175.56612663121513,48.938238386687615
-175.44282214364648,49.0987989414775
-175.31860933673025,49.25942647359757
-175.19342718196884,49.42002764751074
-175.06751259996102,49.58050285583838
-174.94072958869026,49.74076158641838
-174.81328021360434,49.90071761538639
-174.68502162682788,50.06029450659596
-174.55613208191448,50.21942329867651
-174.4265160246139,50.378054037796794
-174.29627198780074,50.536143639474474
-174.1651717656203,50.6936746083417
-174.03301122763082,50.85063618509005
-173.89942643969442,51.00703636617688
-173.76421741386744,51.16287734759035
-173.627467232986,51.31816621751313
-173.48937401687368,51.472912801193544
-173.35061093358004,51.62712870798605
-173.2112962614703,51.780838640690334
-173.0713913542535,51.934075025595064
-172.9304236247408,52.08687805410243
-172.7877725934842,52.2392985421033
-172.64290773169074,52.391382317535026
-172.49540352619783,52.54317605532059
-172.3451023927878,52.694718488060246
-172.1918796793739,52.846041986377855
-172.03571261792138,52.99716780154617
-171.8765482006452,53.14809551556232
-171.71418824184218,53.29880930353967
-171.5486542570687,53.44926492657189
-171.37990351320056,53.599395849855355
-171.20788101431833,53.74911167179248
-171.03304452495934,53.89829735922135
-170.85547167884874,54.04682805220155
-170.6753509053814,54.19455967310426
-170.49266064661145,54.34135045008824
-170.30721727749884,54.48705339048466
-170.11851518143428,54.63152403722593
-169.92625876208916,54.774618627275984
-169.73011342548588,54.916193825816514
-169.5300357797038,55.05612310166076
-169.3260726250358,55.19429693434224
-169.11844711350344,55.33063686893557
-168.90727667801644,55.4650906128821
-168.69278415141295,55.597641718498934
-168.47488561561616,55.72829810767916
-168.2537263912835,55.857088186522894
-168.02917783754935,55.98404536951351
-167.80133631096484,56.10920160058741
-167.56997522049159,56.232595370021016
-167.33488997376523,56.35426492653209
-167.0956260154515,56.474253263703034
-166.8517718205639,56.59260590279792
-166.60291876511565,56.70935933268356
-166.34884010434928,56.82453804448035
-166.08946096356524,56.93815386102074
-165.82469934770663,57.050207682659895
-165.55468714999682,57.16068906058815
-165.27936715427307,57.26957862186775
