longitude,latitude
-179.900000,38.705294
-179.703467,38.716386
-179.509229,38.726221
-179.317158,38.734996
-179.126879,38.742891
-178.938133,38.750070
-178.750721,38.756684
-178.564501,38.762869
-178.379466,38.768748
-178.195607,38.774430
-178.012871,38.780014
-177.831153,38.785584
-177.650222,38.791215
-177.469929,38.796972
-177.290140,38.802908
-177.110726,38.809069
-176.931608,38.815489
-176.752735,38.822197
-176.574058,38.829212
-176.395575,38.836546
-176.217280,38.844208
-176.039151,38.852195
-175.861117,38.860504
-175.683045,38.869125
-175.504806,38.878044
-175.326249,38.887243
-175.147164,38.896708
-174.967536,38.906456
-174.787406,38.916440
-174.607004,38.926604
-174.426751,38.936893
-174.247009,38.947259
-174.068161,38.957660
-173.890686,38.968060
-173.714766,38.978434
-173.540542,38.988768
-173.368089,38.999056
-173.197357,39.009308
-173.028278,39.019541
-172.860748,39.029784
-172.694603,39.040076
-172.529702,39.050464
-172.365831,39.060996
-172.202659,39.071729
-172.040012,39.082716
-171.877654,39.094011
-171.715502,39.105664
-171.553543,39.117716
-171.391872,39.130208
-171.230619,39.143170
-171.069843,39.156632
-170.909648,39.170619
-170.750011,39.185153
-170.590925,39.200254
-170.432239,39.215937
-170.273819,39.232212
-170.115496,39.249081
-169.956907,39.266536
-169.797867,39.284558
-169.638118,39.303116
-169.477560,39.322168
-169.316169,39.341666
-169.154012,39.361556
-168.991257,39.381783
-168.828035,39.402293
-168.664681,39.423034
-168.501358,39.443959
-168.338214,39.465026
-168.175412,39.486204
-168.012925,39.507466
-167.850725,39.528794
-167.688617,39.550176
-167.526524,39.571605
-167.364325,39.593077
-167.201903,39.614587
-167.039226,39.636131
-166.876276,39.657701
-166.713150,39.679287
-166.549904,39.700879
-166.386685,39.722464
-166.223614,39.744029
-166.060765,39.765565
-165.898236,39.787062
-165.736057,39.808514
-165.574253,39.829920
-165.412876,39.851282
-165.251939,39.872604
-165.091454,39.893898
-164.931376,39.915179
-164.771676,39.936465
-164.612310,39.957781
-164.453238,39.979154
-164.294444,40.000615
-164.135913,40.022197
-163.977658,40.043933
-163.819692,40.065853
-163.662104,40.087986
-163.504971,40.110356
-163.348347,40.132983
-163.192360,40.155885
-163.037019,40.179083
-162.882354,40.202597
-162.728323,40.226448
-162.574905,40.250658
-162.422016,40.275250
-162.269585,40.300242
-162.117563,40.325650
-161.965896,40.351483
-161.814605,40.377742
-161.663728,40.404422
-161.513358,40.431509
-161.363564,40.458983
-161.214532,40.486818
-161.066315,40.514982
-160.919044,40.543444
-160.772743,40.572169
-160.627422,40.601122
-160.482983,40.630272
-160.339374,40.659590
-160.196407,40.689047
-160.054001,40.718615
-159.912034,40.748267
-159.770434,40.777971
-159.629147,40.807693
-159.488089,40.837397
-159.347278,40.867042
-159.206624,40.896582
-159.066135,40.925974
-158.925753,40.955182
-158.785459,40.984174
-158.645225,41.012929
-158.504987,41.041438
-158.364707,41.069698
-158.224300,41.097714
-158.083748,41.125494
-157.943009,41.153048
-157.802084,41.180385
-157.660972,41.207512
-157.519689,41.234434
-157.378240,41.261150
-157.236630,41.287657
-157.094857,41.313947
-156.952903,41.340009
-156.810737,41.365827
-156.668300,41.391380
-156.525547,41.416643
-156.382409,41.441588
-156.238899,41.466182
-156.094989,41.490394
-155.950863,41.514187
-155.806697,41.537534
-155.662871,41.560400
-155.519779,41.582759
-155.377718,41.604582
-155.236931,41.625847
-155.097464,41.646530
-154.959118,41.666614
-154.821773,41.686084
-154.685151,41.704932
-154.549152,41.723158
-154.413676,41.740768
-154.278759,41.757778
-154.144445,41.774215
-154.010806,41.790116
-153.877866,41.805525
-153.745511,41.820501
-153.613726,41.835106
-153.482225,41.849414
-153.350970,41.863498
-153.219756,41.877433
-153.088558,41.891287
-152.957353,41.905124
-152.826173,41.918992
-152.695125,41.932924
-152.564294,41.946934
-152.433818,41.961020
-152.303771,41.975166
-152.174238,41.989344
-152.045236,42.003520
-151.916789,42.017656
-151.788850,42.031711
-151.661428,42.045645
-151.534485,42.059414
-151.408039,42.072975
-151.282014,42.086281
-151.156410,42.099287
-151.031098,42.111947
-150.906051,42.124213
-150.781138,42.136040
-150.656318,42.147384
-150.531518,42.158202
-150.406708,42.168457
-150.281931,42.178117
-150.157195,42.187153
-150.032661,42.195547
-149.908384,42.203287
-149.784527,42.210370
-149.661151,42.216799
-149.538307,42.222587
-149.416019,42.227751
-149.294175,42.232312
-149.172729,42.236293
-149.051468,42.239716
-148.930273,42.242600
-148.808937,42.244959
-148.687304,42.246799
-148.565244,42.248122
-148.442632,42.248922
-148.319434,42.249189
-148.195613,42.248909
-148.071210,42.248064
-147.946277,42.246634
-147.820883,42.244598
-147.695123,42.241934
-147.569027,42.238620
-147.442636,42.234637
-147.315916,42.229964
-147.188825,42.224588
-147.061301,42.218496
-146.933273,42.211682
-146.804680,42.204142
-146.675463,42.195878
-146.545594,42.186896
-146.415051,42.177203
-146.283867,42.166810
-146.152059,42.155728
-146.019746,42.143967
-145.886965,42.131539
-145.753944,42.118455
-145.620709,42.104726
-145.487571,42.090360
-145.354546,42.075369
-145.221885,42.059760
-145.089598,42.043543
-144.957806,42.026728
-144.826490,42.009323
-144.695654,41.991338
-144.565237,41.972780
-144.435161,41.953655
-144.305316,41.933965
-144.175596,41.913712
-144.045895,41.892894
-143.916141,41.871505
-143.786286,41.849538
-143.656313,41.826980
-143.526261,41.803819
-143.396147,41.780041
-143.266084,41.755632
-143.136101,41.730581
-143.006320,41.704877
-142.876759,41.678510
-142.747510,41.651477
-142.618571,41.623772
-142.489991,41.595397
-142.361752,41.566351
-142.233854,41.536639
-142.106266,41.506266
-141.978934,41.475240
-141.851832,41.443571
-141.724891,41.411272
-141.598077,41.378355
-141.471311,41.344839
-141.344573,41.310737
-141.217796,41.276067
-141.090986,41.240843
-140.964104,41.205080
-140.837137,41.168788
-140.710050,41.131975
-140.582851,41.094647
-140.455517,41.056807
-140.328064,41.018456
-140.200492,40.979591
-140.072798,40.940205
-139.944992,40.900291
-139.817118,40.859836
-139.689220,40.818828
-139.561346,40.777248
-139.433537,40.735076
-139.305790,40.692292
-139.178090,40.648872
-139.050417,40.604794
-138.922745,40.560039
-138.795076,40.514589
-138.667393,40.468436
-138.539773,40.421573
-138.412250,40.374008
-138.284990,40.325751
-138.158045,40.276825
-138.031584,40.227259
-137.905667,40.177090
-137.780403,40.126363
-137.655819,40.075126
-137.531927,40.023430
-137.408741,39.971330
-137.286239,39.918883
-137.164436,39.866147
-137.043309,39.813182
-136.922862,39.760044
-136.803092,39.706793
-136.684018,39.653484
-136.565652,39.600169
-136.448000,39.546895
-136.331081,39.493701
-136.214900,39.440623
-136.099451,39.387685
-135.984710,39.334908
-135.870651,39.282301
-135.757188,39.229871
-135.644294,39.177618
-135.531888,39.125539
-135.419950,39.073629
-135.308480,39.021884
-135.197470,38.970301
-135.086947,38.918877
-134.976934,38.867617
-134.867432,38.816528
-134.758534,38.765621
-134.650179,38.714916
-134.542435,38.664436
-134.435251,38.614212
-134.328655,38.564278
-134.222646,38.514675
-134.117200,38.465447
-134.012400,38.416642
