longitude,latitude
-179.900000,35.810245
-179.770873,35.810643
-179.641847,35.812254
-179.512918,35.815059
-179.384100,35.819044
-179.255412,35.824192
-179.126877,35.830486
-178.998548,35.837908
-178.870454,35.846441
-178.742632,35.856068
-178.615107,35.866771
-178.487871,35.878532
-178.360937,35.891334
-178.234257,35.905157
-178.107828,35.919986
-177.981548,35.935800
-177.855404,35.952584
-177.729270,35.970319
-177.603138,35.988988
-177.476915,36.008574
-177.350586,36.029060
-177.224083,36.050430
-177.097416,36.072667
-176.970585,36.095756
-176.843614,36.119682
-176.716525,36.144429
-176.589343,36.169961
-176.462078,36.196285
-176.334736,36.223391
-176.207290,36.251266
-176.079715,36.279902
-175.951902,36.309287
-175.823807,36.339411
-175.695342,36.370264
-175.566468,36.401837
-175.437127,36.434122
-175.307321,36.467112
-175.177057,36.500804
-175.046412,36.535195
-174.915450,36.570284
-174.784300,36.606070
-174.653033,36.642556
-174.521754,36.679742
-174.390506,36.717627
-174.259352,36.756211
-174.128322,36.795491
-173.997423,36.835462
-173.866675,36.876117
-173.736031,36.917446
-173.605516,36.959438
-173.475083,37.002077
-173.344748,37.045343
-173.214403,37.089218
-173.084037,37.133678
-172.953594,37.178699
-172.823077,37.224258
-172.692481,37.270332
-172.561808,37.316893
-172.431058,37.363921
-172.300280,37.411393
-172.169520,37.459291
-172.038805,37.507601
-171.908147,37.556312
-171.777499,37.605414
-171.646881,37.654905
-171.516292,37.704780
-171.385752,37.755040
-171.255281,37.805685
-171.124872,37.856714
-170.994601,37.908125
-170.864490,37.959916
-170.734666,38.012083
-170.605140,38.064621
-170.475969,38.117520
-170.347164,38.170770
-170.218749,38.224359
-170.090718,38.278274
-169.963018,38.332499
-169.835614,38.387015
-169.708424,38.441798
-169.581430,38.496823
-169.454563,38.552061
-169.327879,38.607479
-169.201364,38.663041
-169.075038,38.718713
-168.948916,38.774459
-168.823042,38.830244
-168.697453,38.886031
-168.572153,38.941788
-168.447146,38.997489
-168.322440,39.053109
-168.198088,39.108628
-168.074124,39.164029
-167.950596,39.219299
-167.827557,39.274430
-167.705069,39.329418
-167.583172,39.384260
-167.461912,39.438956
-167.341314,39.493506
-167.221384,39.547912
-167.102060,39.602171
-166.983275,39.656283
-166.865028,39.710246
-166.747180,39.764055
-166.629726,39.817703
-166.512406,39.871180
-166.395259,39.924479
-166.278164,39.977591
-166.161136,40.030509
-166.044111,40.083228
-165.927085,40.135747
-165.810148,40.188065
-165.693369,40.240186
-165.576843,40.292114
-165.460537,40.343856
-165.344480,40.395420
-165.228752,40.446813
-165.113377,40.498042
-164.998406,40.549111
-164.883644,40.600023
-164.769133,40.650783
-164.654887,40.701391
-164.540945,40.751847
-164.427320,40.802146
-164.313827,40.852284
-164.200472,40.902256
-164.087252,40.952055
-163.974164,41.001672
-163.861215,41.051099
-163.748303,41.100324
-163.635450,41.149341
-163.522719,41.198141
-163.410143,41.246718
-163.297820,41.295065
-163.185792,41.343176
-163.074154,41.391047
-162.962985,41.438676
-162.852343,41.486065
-162.742299,41.533216
-162.632877,41.580136
-162.524111,41.626833
-162.416013,41.673315
-162.308587,41.719592
-162.201834,41.765679
-162.095730,41.811593
-161.990239,41.857347
-161.885368,41.902958
-161.781078,41.948444
-161.677389,41.993819
-161.574283,42.039102
-161.471772,42.084308
-161.369893,42.129452
-161.268671,42.174547
-161.168149,42.219600
-161.068386,42.264618
-160.969413,42.309605
-160.871260,42.354563
-160.773972,42.399495
-160.677564,42.444400
-160.582045,42.489274
-160.487418,42.534114
-160.393603,42.578919
-160.300546,42.623689
-160.208252,42.668422
-160.116705,42.713117
-160.025891,42.757775
-159.935796,42.802393
-159.846270,42.846969
-159.757316,42.891498
-159.668950,42.935975
-159.581157,42.980392
-159.493955,43.024740
-159.407275,43.069010
-159.321042,43.113187
-159.235275,43.157257
-159.149999,43.201206
-159.065255,43.245015
-158.981078,43.288667
-158.897415,43.332148
-158.814320,43.375440
-158.731845,43.418532
-158.650031,43.461410
-158.568884,43.504061
-158.488446,43.546473
-158.408685,43.588634
-158.329485,43.630534
-158.250859,43.672164
-158.172823,43.713514
-158.095174,43.754570
-158.017898,43.795318
-157.940898,43.835746
-157.864069,43.875839
-157.787383,43.915584
-157.710847,43.954967
-157.634478,43.993978
-157.558302,44.032605
-157.482264,44.070844
-157.406403,44.108689
-157.330851,44.146140
-157.255636,44.183200
-157.180785,44.219874
-157.106482,44.256169
-157.032755,44.292094
-156.959574,44.327662
-156.887019,44.362886
-156.815149,44.397783
-156.743968,44.432373
-156.673484,44.466673
-156.603708,44.500706
-156.534636,44.534491
-156.466191,44.568053
-156.398360,44.601414
-156.331141,44.634598
-156.264545,44.667626
-156.198589,44.700521
-156.133281,44.733304
-156.068644,44.765996
-156.004704,44.798614
-155.941488,44.831172
-155.879007,44.863683
-155.817276,44.896159
-155.756314,44.928607
-155.696139,44.961033
-155.636669,44.993440
-155.577893,45.025830
-155.519771,45.058204
-155.462278,45.090563
-155.405299,45.122907
-155.348766,45.155240
-155.292659,45.187566
-155.236958,45.219889
-155.181633,45.252216
-155.126640,45.284557
-155.071918,45.316922
-155.017471,45.349322
-154.963302,45.381772
-154.909494,45.414286
-154.856104,45.446876
-154.803151,45.479555
-154.750655,45.512334
-154.698630,45.545223
-154.647339,45.578230
-154.596815,45.611359
-154.547088,45.644617
-154.498185,45.678005
-154.450143,45.711524
-154.403221,45.745173
-154.357431,45.778949
-154.312776,45.812846
-154.269255,45.846859
-154.226869,45.880979
-154.185623,45.915195
-154.145504,45.949496
-154.106485,45.983870
-154.068544,46.018302
-154.031635,46.052779
-153.995711,46.087286
-153.960722,46.121808
-153.926511,46.156331
-153.893053,46.190840
-153.860323,46.225322
-153.828299,46.259764
-153.796952,46.294155
-153.766248,46.328484
-153.736171,46.362744
-153.706664,46.396928
-153.677675,46.431033
-153.649199,46.465054
-153.621229,46.498990
-153.593762,46.532840
-153.566780,46.566607
-153.540281,46.600293
-153.514261,46.633901
-153.488717,46.667435
-153.463641,46.700902
-153.439027,46.734307
-153.414874,46.767655
-153.391170,46.800951
-153.367901,46.834203
-153.345065,46.867418
-153.322657,46.900600
-153.300676,46.933758
-153.279118,46.966896
-153.257979,47.000020
-153.237258,47.033137
-153.216893,47.066254
-153.196868,47.099378
-153.177175,47.132516
-153.157806,47.165673
-153.138754,47.198857
-153.120011,47.232073
-153.101571,47.265327
-153.083406,47.298624
-153.065485,47.331970
-153.047803,47.365370
-153.030352,47.398828
-153.013127,47.432349
-152.996121,47.465934
-152.979322,47.499586
-152.962695,47.533308
-152.946209,47.567102
-152.929865,47.600968
-152.913660,47.634906
-152.897595,47.668915
-152.881670,47.702994
-152.865883,47.737142
-152.850234,47.771354
-152.834720,47.805629
-152.819341,47.839964
-152.804099,47.874355
-152.788996,47.908798
-152.774036,47.943291
-152.759221,47.977829
-152.744554,48.012406
-152.730050,48.047018
-152.715740,48.081659
-152.701629,48.116324
-152.687723,48.151006
-152.674028,48.185703
-152.660549,48.220408
-152.647293,48.255118
-152.634264,48.289830
-152.621470,48.324539
-152.608916,48.359243
-152.596605,48.393941
-152.584543,48.428629
-152.572734,48.463309
-152.561181,48.497980
-152.549888,48.532643
-152.538858,48.567299
-152.528093,48.601950
-152.517596,48.636597
-152.507369,48.671244
-152.497415,48.705894
-152.487743,48.740552
-152.478370,48.775224
-152.469295,48.809914
-152.460516,48.844630
-152.452032,48.879378
-152.443845,48.914163
-152.435952,48.948993
-152.428354,48.983876
-152.421051,49.018819
-152.414038,49.053830
-152.407313,49.088917
-152.400874,49.124088
-152.394721,49.159350
-152.388852,49.194709
-152.383267,49.230174
-152.377965,49.265751
-152.372937,49.301446
-152.368173,49.337268
-152.363672,49.373220
-152.359433,49.409308
-152.355456,49.445536
-152.351738,49.481909
-152.348281,49.518431
-152.345070,49.555106
-152.342093,49.591937
