row,col,lat_center,lon_center,url,lat_min,lat_max,lon_min,lon_max
0,0,31.54464736,34.45241857199999,"https://earth.google.com/web/@31.54464736,34.45241857,75.0a,500d,35y,0h,0t,0r",31.543190258219933,31.545922461780062,34.449254668898156,34.455572475101825
0,1,31.54464736,34.45863966599999,"https://earth.google.com/web/@31.54464736,34.45863967,75.0a,500d,35y,0h,0t,0r",31.543190258219933,31.545922461780062,34.45547576289815,34.46179356910182
0,2,31.54464736,34.46486075999999,"https://earth.google.com/web/@31.54464736,34.46486076,75.0a,500d,35y,0h,0t,0r",31.543190258219933,31.545922461780062,34.46169685689816,34.468014663101826
0,3,31.54464736,34.47108185399999,"https://earth.google.com/web/@31.54464736,34.47108185,75.0a,500d,35y,0h,0t,0r",31.543190258219933,31.545922461780062,34.467917950898155,34.47423575710182
0,4,31.54464736,34.477302947999995,"https://earth.google.com/web/@31.54464736,34.47730295,75.0a,500d,35y,0h,0t,0r",31.543190258219933,31.545922461780062,34.47413904489816,34.48045685110183
0,5,31.54464736,34.48352404199999,"https://earth.google.com/web/@31.54464736,34.48352404,75.0a,500d,35y,0h,0t,0r",31.543190258219933,31.545922461780062,34.480360138898156,34.486677945101825
0,6,31.54464736,34.48974513599999,"https://earth.google.com/web/@31.54464736,34.48974514,75.0a,500d,35y,0h,0t,0r",31.543190258219933,31.545922461780062,34.48658123289815,34.49289903910182
0,7,31.54464736,34.49596622999999,"https://earth.google.com/web/@31.54464736,34.49596623,75.0a,500d,35y,0h,0t,0r",31.543190258219933,31.545922461780062,34.49280232689816,34.499120133101826
0,8,31.54464736,34.50218732399999,"https://earth.google.com/web/@31.54464736,34.50218732,75.0a,500d,35y,0h,0t,0r",31.543190258219933,31.545922461780062,34.499023420898155,34.50534122710182
0,9,31.54464736,34.508408417999995,"https://earth.google.com/web/@31.54464736,34.50840842,75.0a,500d,35y,0h,0t,0r",31.543190258219933,31.545922461780062,34.50524451489816,34.51156232110183
0,10,31.54464736,34.51462951199999,"https://earth.google.com/web/@31.54464736,34.51462951,75.0a,500d,35y,0h,0t,0r",31.543190258219933,31.545922461780062,34.511465608898156,34.517783415101825
0,11,31.54464736,34.52085060599999,"https://earth.google.com/web/@31.54464736,34.52085061,75.0a,500d,35y,0h,0t,0r",31.543190258219933,31.545922461780062,34.51768670289815,34.52400450910182
0,12,31.54464736,34.52707169999999,"https://earth.google.com/web/@31.54464736,34.52707170,75.0a,500d,35y,0h,0t,0r",31.543190258219933,31.545922461780062,34.52390779689816,34.530225603101826
0,13,31.54464736,34.53329279399999,"https://earth.google.com/web/@31.54464736,34.53329279,75.0a,500d,35y,0h,0t,0r",31.543190258219933,31.545922461780062,34.530128890898155,34.53644669710182
0,14,31.54464736,34.539513887999995,"https://earth.google.com/web/@31.54464736,34.53951389,75.0a,500d,35y,0h,0t,0r",31.543190258219933,31.545922461780062,34.53634998489816,34.54266779110183
0,15,31.54464736,34.54573498199999,"https://earth.google.com/web/@31.54464736,34.54573498,75.0a,500d,35y,0h,0t,0r",31.543190258219933,31.545922461780062,34.542571078898156,34.548888885101825
0,16,31.54464736,34.55195607599999,"https://earth.google.com/web/@31.54464736,34.55195608,75.0a,500d,35y,0h,0t,0r",31.543190258219933,31.545922461780062,34.54879217289815,34.55510997910182
1,0,31.54206238,34.45241857199999,"https://earth.google.com/web/@31.54206238,34.45241857,75.0a,500d,35y,0h,0t,0r",31.540605278219935,31.543337481780064,34.449254668898156,34.455572475101825
1,1,31.54206238,34.45863966599999,"https://earth.google.com/web/@31.54206238,34.45863967,75.0a,500d,35y,0h,0t,0r",31.540605278219935,31.543337481780064,34.45547576289815,34.46179356910182
1,2,31.54206238,34.46486075999999,"https://earth.google.com/web/@31.54206238,34.46486076,75.0a,500d,35y,0h,0t,0r",31.540605278219935,31.543337481780064,34.46169685689816,34.468014663101826
1,3,31.54206238,34.47108185399999,"https://earth.google.com/web/@31.54206238,34.47108185,75.0a,500d,35y,0h,0t,0r",31.540605278219935,31.543337481780064,34.467917950898155,34.47423575710182
1,4,31.54206238,34.477302947999995,"https://earth.google.com/web/@31.54206238,34.47730295,75.0a,500d,35y,0h,0t,0r",31.540605278219935,31.543337481780064,34.47413904489816,34.48045685110183
1,5,31.54206238,34.48352404199999,"https://earth.google.com/web/@31.54206238,34.48352404,75.0a,500d,35y,0h,0t,0r",31.540605278219935,31.543337481780064,34.480360138898156,34.486677945101825
1,6,31.54206238,34.48974513599999,"https://earth.google.com/web/@31.54206238,34.48974514,75.0a,500d,35y,0h,0t,0r",31.540605278219935,31.543337481780064,34.48658123289815,34.49289903910182
1,7,31.54206238,34.49596622999999,"https://earth.google.com/web/@31.54206238,34.49596623,75.0a,500d,35y,0h,0t,0r",31.540605278219935,31.543337481780064,34.49280232689816,34.499120133101826
1,8,31.54206238,34.50218732399999,"https://earth.google.com/web/@31.54206238,34.50218732,75.0a,500d,35y,0h,0t,0r",31.540605278219935,31.543337481780064,34.499023420898155,34.50534122710182
1,9,31.54206238,34.508408417999995,"https://earth.google.com/web/@31.54206238,34.50840842,75.0a,500d,35y,0h,0t,0r",31.540605278219935,31.543337481780064,34.50524451489816,34.51156232110183
1,10,31.54206238,34.51462951199999,"https://earth.google.com/web/@31.54206238,34.51462951,75.0a,500d,35y,0h,0t,0r",31.540605278219935,31.543337481780064,34.511465608898156,34.517783415101825
1,11,31.54206238,34.52085060599999,"https://earth.google.com/web/@31.54206238,34.52085061,75.0a,500d,35y,0h,0t,0r",31.540605278219935,31.543337481780064,34.51768670289815,34.52400450910182
